title,artist_name,artist.hotttnesss,duration,familiarity,key,loudness,mode,tempo,time_signature
I Didn't Mean To,Casual,0.401997543,218.93179,0.581793766,1,-11.197,0,92.198,4
Soul Deep,The Box Tops,0.417499645,148.03546,0.630630038,6,-9.843,0,121.274,4
Amor De Cabaret,Sonora Santanera,0.343428378,177.47546,0.487356791,8,-9.689,1,100.07,1
Something Girls,Adam Ant,0.454231157,233.40363,0.630382334,0,-9.013,1,119.293,4
Face the Ashes,Gob,0.401723686,209.60608,0.651045661,2,-4.501,1,129.738,4
The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,0.385470551,267.7024,0.535292736,5,-9.323,1,147.782,3
Keepin It Real (Skit),Rated R,0.261941177,114.78159,0.556495602,1,-17.302,1,111.787,1
Drop of Rain,Tweeterfriendly Music,0.605507136,189.57016,0.801136447,4,-11.642,0,101.43,3
Pink World,Planet P Project,0.332275747,269.81832,0.426667857,4,-13.496,1,86.643,4
Insatiable (Instrumental Version),Clp,0.422705641,266.39628,0.550513698,7,-6.697,0,114.041,4
Young Boy Blues,JennyAnyKind,0.296268954,218.77506,0.360031167,5,-10.021,0,146.765,1
The Urgency (LP Version),Wayne Watson,0.351555861,245.21098,0.545159296,7,-7.545,1,117.975,4
La Culpa,Andy Andy,0.37948217,226.35057,0.577508974,9,-6.632,1,130.04,4
Auguri Cha Cha,Bob Azzam,0.251936525,191.84281,0.085512047,10,-7.75,0,137.334,1
Tonight Will Be Alright,Lionel Richie,0.553071992,307.3824,0.776675856,3,-8.346,1,125.197,3
Floating,Blue Rodeo,0.447935481,491.12771,0.636423645,7,-8.576,1,119.826,4
High Tide,Richard Souther,0.330806357,228.5971,0.419943148,8,-16.11,1,127.756,5
Sohna Nee Sohna Data,Faiz Ali Faiz,0.306676094,599.24853,0.363280571,6,-8.032,1,99.273,4
Caught In A Dream,Tesla,0.51346329,290.29832,0.707199764,7,-5.271,1,150.062,4
Synthetic Dream,lextrical,0,165.69424,0.32031437,7,-6.787,1,138.331,4
Broken-Down Merry-Go-Round,Jimmy Wakely,0.291539727,151.84934,0.39413854,1,-15.221,1,86.186,3
Kassie Jones,Alice Stuart,0.328553015,220.78649,0.489816269,11,-8.514,1,110.382,1
Setanta matins,Elena,0.378254686,269.58322,0.677420465,2,-8.05,1,111.874,4
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,0.541888972,207.77751,0.839962768,7,-4.264,1,166.862,4
James (Hold The Ladder Steady),SUE THOMPSON,0.306242264,124.86485,0.435415818,10,-12.332,1,137.522,4
Made Like This (Live),Five Bolt Main,0.363651365,225.09669,0.6090637,7,-5.908,1,164.672,1
Superconfidential,Clp,0.422705641,338.31138,0.550513698,6,-6.486,0,125.006,4
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,0.349912612,186.48771,0.459797129,5,-4.516,1,90.022,1
Spanish Grease,Willie Bobo,0.379671125,168.25424,0.588827101,8,-9.616,1,127.025,4
Crazy Mixed Up World,Faye Adams,0.299230368,156.39465,0.396455254,8,-18.051,1,95.957,3
Do You Finally Need A Friend,Terry Callier,0.416173065,342.56934,0.706827671,6,-11.939,1,110.189,3
The Emperor Falls,John Wesley,0.452789477,484.62322,0.560557984,4,-15.335,0,138.007,4
Twist and Shout,The Shangri-Las,0.418216518,164.80608,0.640807102,10,-10.922,1,130.1,1
It Makes No Difference Now,Billie Jo Spears,0.384611084,133.32853,0.523714637,4,-9.983,1,160.839,1
Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),0.426317956,173.66159,0.79360508,7,-7.762,1,41.993,1
A?DA3nde va Chichi?,Sierra Maestra,0.392733676,313.12934,0.501544777,9,-9.512,1,189.646,3
